Course Of Sales
Time,Price ($),Volume,Value ($),Condition
16/03/2016 03:59:40 PM,16.56,43,712.08,
16/03/2016 03:59:40 PM,16.56,417,6905.52,
16/03/2016 03:59:40 PM,16.56,260,4305.60,
16/03/2016 03:59:39 PM,16.57,260,4308.20,
16/03/2016 03:59:39 PM,16.57,3,49.71,
16/03/2016 03:59:39 PM,.00,0,.00,
16/03/2016 03:59:39 PM,.00,0,.00,
16/03/2016 03:59:39 PM,16.57,139,2303.23,
16/03/2016 03:59:39 PM,.00,0,.00,
16/03/2016 03:59:39 PM,.00,0,.00,
16/03/2016 03:59:39 PM,.00,0,.00,
16/03/2016 03:59:39 PM,.00,0,.00,
16/03/2016 03:59:39 PM,.00,0,.00,
16/03/2016 03:59:39 PM,.00,0,.00,
16/03/2016 03:59:39 PM,16.57,636,10538.52,
16/03/2016 03:59:39 PM,16.57,667,11052.19,
16/03/2016 03:59:39 PM,16.57,239,3960.23,
16/03/2016 03:59:39 PM,16.58,8,132.64,XT
16/03/2016 03:59:39 PM,16.58,503,8339.74,
16/03/2016 03:59:39 PM,16.58,1370,22714.60,
16/03/2016 03:59:39 PM,16.58,234,3879.72,
16/03/2016 03:59:39 PM,16.58,135,2238.30,
16/03/2016 03:59:39 PM,16.58,10576,175350.08,
16/03/2016 03:59:36 PM,16.58,14,232.12,
16/03/2016 03:59:34 PM,16.59,1,16.59,
16/03/2016 03:59:32 PM,.00,0,.00,
16/03/2016 03:59:32 PM,16.58,984,16314.72,
16/03/2016 03:59:32 PM,16.58,22,364.76,
16/03/2016 03:59:30 PM,16.58,50,829.00,XT
16/03/2016 03:59:27 PM,16.59,140,2322.60,
16/03/2016 03:59:27 PM,16.59,465,7714.35,
16/03/2016 03:59:26 PM,16.59,36,597.24,
16/03/2016 03:59:26 PM,16.60,38,630.80,
16/03/2016 03:59:26 PM,.00,0,.00,
16/03/2016 03:59:26 PM,16.59,667,11065.53,
16/03/2016 03:59:26 PM,16.59,667,11065.53,
16/03/2016 03:59:26 PM,16.59,1237,20521.83,
16/03/2016 03:59:26 PM,16.59,133,2206.47,
16/03/2016 03:59:26 PM,16.59,343,5690.37,
16/03/2016 03:59:25 PM,16.59,5,82.95,
16/03/2016 03:59:25 PM,16.59,140,2322.60,
16/03/2016 03:59:25 PM,16.59,260,4313.40,
16/03/2016 03:59:25 PM,16.59,140,2322.60,
16/03/2016 03:59:25 PM,16.59,101,1675.59,
16/03/2016 03:59:25 PM,16.59,363,6022.17,
16/03/2016 03:59:25 PM,16.59,339,5624.01,
16/03/2016 03:59:25 PM,16.59,21,348.39,
16/03/2016 03:59:25 PM,16.59,1277,21185.43,
16/03/2016 03:59:23 PM,16.60,21,348.60,
16/03/2016 03:59:23 PM,16.60,90,1494.00,
16/03/2016 03:59:23 PM,16.60,303,5029.80,
16/03/2016 03:59:23 PM,16.60,19,315.40,
16/03/2016 03:59:23 PM,16.60,54,896.40,
16/03/2016 03:59:23 PM,16.60,260,4316.00,
16/03/2016 03:59:23 PM,16.60,217,3602.20,
16/03/2016 03:59:23 PM,16.60,910,15106.00,
16/03/2016 03:59:23 PM,16.60,237,3934.20,
16/03/2016 03:59:22 PM,16.59,93,1542.87,
16/03/2016 03:59:22 PM,16.60,77,1278.20,
16/03/2016 03:59:22 PM,16.60,72,1194.84,CXXT
16/03/2016 03:59:22 PM,16.59,1370,22728.30,
16/03/2016 03:59:17 PM,16.58,3,49.73,NXXT
16/03/2016 03:59:17 PM,16.58,116,1923.28,
16/03/2016 03:59:17 PM,16.58,2,33.16,
16/03/2016 03:59:17 PM,16.58,26,431.08,
16/03/2016 03:59:17 PM,16.58,52,862.16,
16/03/2016 03:59:17 PM,16.58,144,2387.52,
16/03/2016 03:59:17 PM,16.57,4,66.28,
16/03/2016 03:59:15 PM,16.58,232,3846.56,
16/03/2016 03:59:15 PM,16.58,674,11174.92,
16/03/2016 03:59:15 PM,16.57,2,33.14,
16/03/2016 03:59:15 PM,16.57,6,99.42,
16/03/2016 03:59:15 PM,16.57,208,3446.56,
16/03/2016 03:59:14 PM,16.57,86,1425.02,
16/03/2016 03:59:14 PM,16.57,2,33.14,
16/03/2016 03:59:14 PM,16.57,2,33.14,
16/03/2016 03:59:14 PM,16.57,7,115.99,
16/03/2016 03:59:14 PM,16.57,16,265.12,
16/03/2016 03:59:10 PM,16.57,73,1209.61,
16/03/2016 03:59:10 PM,16.57,145,2402.65,
16/03/2016 03:59:10 PM,16.57,1,16.57,
16/03/2016 03:59:10 PM,16.57,25,414.25,
16/03/2016 03:59:10 PM,16.56,2,33.12,
16/03/2016 03:59:10 PM,16.56,109,1805.04,
16/03/2016 03:59:10 PM,16.56,5,82.80,
16/03/2016 03:59:10 PM,16.55,104,1721.20,
16/03/2016 03:59:10 PM,16.56,107,1771.92,
16/03/2016 03:59:09 PM,16.56,216,3576.96,
16/03/2016 03:59:09 PM,16.56,80,1324.80,
16/03/2016 03:59:09 PM,16.56,62,1026.72,
16/03/2016 03:59:09 PM,16.56,1,16.56,
16/03/2016 03:59:09 PM,16.56,1937,32076.72,
16/03/2016 03:59:09 PM,16.56,1,16.56,
16/03/2016 03:59:09 PM,16.56,2326,38518.56,
16/03/2016 03:59:09 PM,.00,0,.00,
16/03/2016 03:59:09 PM,16.55,293,4849.15,
16/03/2016 03:59:09 PM,16.55,2,33.10,
16/03/2016 03:59:09 PM,16.55,74,1224.70,
16/03/2016 03:59:09 PM,16.55,95,1572.25,
16/03/2016 03:59:09 PM,16.55,10,165.50,
16/03/2016 03:59:09 PM,16.55,60,993.00,
16/03/2016 03:59:09 PM,16.55,48,794.40,
16/03/2016 03:59:09 PM,16.55,5,82.75,
16/03/2016 03:59:09 PM,16.55,129,2134.95,
16/03/2016 03:59:09 PM,16.55,32,529.60,
16/03/2016 03:59:09 PM,16.55,83,1373.65,
16/03/2016 03:59:09 PM,16.55,45,744.75,
16/03/2016 03:59:09 PM,16.55,1311,21697.05,
16/03/2016 03:59:09 PM,16.55,382,6322.10,
16/03/2016 03:59:09 PM,16.55,1003,16599.65,
16/03/2016 03:59:09 PM,16.55,80,1324.00,
16/03/2016 03:59:09 PM,16.55,349,5775.95,
16/03/2016 03:59:09 PM,16.55,140,2317.00,
16/03/2016 03:59:08 PM,.00,0,.00,
16/03/2016 03:59:08 PM,16.55,114,1886.70,
16/03/2016 03:59:06 PM,16.54,1,16.54,
16/03/2016 03:59:05 PM,16.54,7,115.78,
16/03/2016 03:59:02 PM,16.55,114,1886.70,
16/03/2016 03:58:56 PM,16.55,116,1919.80,
16/03/2016 03:58:56 PM,16.55,557,9215.57,NXXT
16/03/2016 03:58:56 PM,16.54,8,132.32,
16/03/2016 03:58:56 PM,16.55,327,5410.22,NXXT
