Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
27811072,2019.06.27 09:01:57,sell,0.01,eurusd,1.13674,1.1371,0,2019.06.27 09:17:02,1.1367,0,0,0,0.06
27811472,2019.06.27 09:27:00,sell,0.01,gbpusd,1.26878,1.26945,0,2019.06.27 09:41:30,1.26945,0,0,0,-0.96
27812057,2019.06.27 10:07:28,sell,0.01,gbpusd,1.26946,1.27003,0,2019.06.27 10:10:39,1.27011,0,0,0,-0.93
27812242,2019.06.27 10:21:59,sell,0.01,eurusd,1.13671,1.13756,0,2019.06.27 10:45:38,1.13756,0,0,0,-1.22
27813472,2019.06.27 11:08:35,sell,0.01,eurusd,1.13706,1.13774,0,2019.06.27 11:44:05,1.13774,0,0,0,-0.98
28344884,2019.07.25 02:30:00,buy,0.01,audusd,0.69811,0,0,2019.07.25 03:35:45,0.69821,0,0,0,0.14
28344885,2019.07.25 02:30:00,buy,0.01,audusd,0.69811,0,0,2019.07.25 03:36:05,0.69819,0,0,0,0.11
28344886,2019.07.25 02:30:00,buy,0.01,audusd,0.69811,0,0,2019.07.25 03:36:11,0.69819,0,0,0,0.11
28381069,2019.07.26 08:21:23,buy,0.01,eurusd,1.11373,0,0,2019.07.26 08:33:04,1.1139,0,0,0,0.24
28381410,2019.07.26 08:35:56,sell,0.01,eurusd,1.11381,0,0,2019.07.26 08:47:34,1.11366,0,0,0,0.22
28381868,2019.07.26 08:57:46,sell,0.01,eurusd,1.11338,0,0,2019.07.26 09:11:08,1.1138,0,0,0,-0.61
28382242,2019.07.26 09:13:01,sell,0.01,eurusd,1.1137,0,0,2019.07.26 09:25:01,1.11353,0,0,0,0.24
28382521,2019.07.26 09:34:36,buy,0.01,eurusd,1.11379,0,0,2019.07.26 09:48:12,1.11343,0,0,0,-0.52
28383397,2019.07.26 10:45:01,buy,0.01,eurusd,1.11471,1.11277,0,2019.07.29 05:07:19,1.11277,0,0,0,-2.82
28399488,2019.07.29 02:24:24,balance,Interest 1 day EUR/USD 1.4529,-0.17,,,,,,,,,
28402764,2019.07.29 03:19:05,buy,0.01,audusd,0.69116,0.69058,0,2019.07.29 04:10:14,0.69058,0,0,0,-0.84
28407991,2019.07.29 10:16:04,sell,0.01,eurusd,1.11237,0,0,2019.07.29 11:30:10,1.11237,0,0,0,0
28408049,2019.07.29 10:20:56,sell,0.01,audusd,0.69051,0,0,2019.07.29 11:00:57,0.69058,0,0,0,-0.1
28410907,2019.07.29 12:39:01,buy,0.01,eurusd,1.11173,0,0,2019.07.29 13:20:40,1.11186,0,0,0,0.19
28412231,2019.07.29 13:24:10,sell,0.01,eurusd,1.11222,0,0,2019.07.29 13:27:37,1.11219,0,0,0,0.04
28412463,2019.07.29 13:31:21,buy,0.01,eurusd,1.11209,0,0,2019.07.29 13:31:49,1.11219,0,0,0,0.14
28412713,2019.07.29 13:40:43,sell,0.01,eurusd,1.11239,0,0,2019.07.29 13:42:25,1.11237,0,0,0,0.03
28412759,2019.07.29 13:42:50,buy,0.01,eurusd,1.11239,0,0,2019.07.29 14:03:29,1.11232,0,0,0,-0.1
28412927,2019.07.29 13:50:36,buy,0.01,eurusd,1.11208,0,0,2019.07.29 14:03:32,1.11231,0,0,0,0.33
28413490,2019.07.29 14:05:30,sell,0.01,eurusd,1.11225,0,0,2019.07.29 14:07:09,1.11209,0,0,0,0.23
28413543,2019.07.29 14:07:45,buy,0.01,eurusd,1.11194,0,0,2019.07.29 14:08:34,1.11196,0,0,0,0.03
