,index,open,high,low,close,volume,adjusted,created_date,last_updated,pandas_SMA_200,signal,365-Day-High,365-Day-Low
502,2017-02-14,19.38,19.38,19.38,19.38,2,16.88,2020-03-07 15:05:17,2020-03-07 15:05:17,18.3465115,1.0334885000000007,19.552,17.1341
503,2017-02-15,19.5,19.5,19.5,19.5,5,16.9845,2020-03-07 15:05:17,2020-03-07 15:05:17,18.355742499999998,1.144257500000002,19.552,17.1341
504,2017-02-16,19.5,19.53,19.5,19.53,616,17.0106,2020-03-07 15:05:17,2020-03-07 15:05:17,18.3663925,1.1636075000000012,19.552,17.1341
505,2017-02-17,19.5627,19.5627,19.5627,19.5627,0,17.0391,2020-03-07 15:05:17,2020-03-07 15:05:17,18.374856,1.1878439999999983,19.5627,17.1341
506,2017-02-20,19.5424,19.5424,19.5424,19.5424,0,17.0214,2020-03-07 15:05:17,2020-03-07 15:05:17,18.383968,1.1584320000000012,19.5627,17.1341
507,2017-02-21,19.5368,19.5368,19.5368,19.5368,0,17.0166,2020-03-07 15:05:17,2020-03-07 15:05:17,18.3931035,1.1436965000000008,19.5627,17.1341
508,2017-02-22,19.6459,19.6459,19.6459,19.6459,0,17.1116,2020-03-07 15:05:17,2020-03-07 15:05:17,18.402603,1.2432970000000019,19.6459,17.1341
509,2017-02-23,19.5819,19.5819,19.5819,19.5819,0,17.0558,2020-03-07 15:05:17,2020-03-07 15:05:17,18.4119625,1.1699374999999996,19.6459,17.1341
510,2017-02-24,19.48,19.48,19.48,19.48,277,16.9671,2020-03-07 15:05:17,2020-03-07 15:05:17,18.419549500000002,1.0604504999999982,19.6459,17.1341
511,2017-02-27,19.3606,19.3606,19.3606,19.3606,0,16.8631,2020-03-07 15:05:17,2020-03-07 15:05:17,18.4260525,0.9345475000000008,19.6459,17.1341
512,2017-02-28,19.3293,19.3293,19.3293,19.3293,0,16.8358,2020-03-07 15:05:17,2020-03-07 15:05:17,18.432449,0.8968510000000016,19.6459,17.1341
513,2017-03-01,19.33,19.33,19.33,19.33,10,16.8364,2020-03-07 15:05:17,2020-03-07 15:05:17,18.439498999999998,0.8905010000000004,19.6459,17.1341
514,2017-03-02,19.62,19.62,19.62,19.62,534,17.089,2020-03-07 15:05:17,2020-03-07 15:05:17,18.4473605,1.1726395000000025,19.6459,17.1341
515,2017-03-03,19.44,19.49,19.44,19.49,750,16.9758,2020-03-07 15:05:17,2020-03-07 15:05:17,18.453860499999998,1.0361395000000009,19.6459,17.1341
516,2017-03-06,19.5433,19.5433,19.5433,19.5433,0,17.0222,2020-03-07 15:05:17,2020-03-07 15:05:17,18.461078499999996,1.0822215000000028,19.6459,17.1341
517,2017-03-07,19.65,19.65,19.65,19.65,77,17.1152,2020-03-07 15:05:17,2020-03-07 15:05:17,18.469328499999996,1.1806715000000025,19.65,17.1341
518,2017-03-08,19.6134,19.6134,19.6134,19.6134,0,17.0833,2020-03-07 15:05:17,2020-03-07 15:05:17,18.476969999999998,1.1364300000000007,19.65,17.1341
