Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
MYR,Myer Holdings Limited,Consumer Discretionary,"447,597,000",0.02,,,
MYS,Mystate Limited,Financials,"408,772,000",0.02,,,
MYX,Mayne Pharma Limited,Health Care,"807,298,000",0.04,,,
NAB,National Aust. Bank,Financials,"75,120,300,000",3.81,,,
NAN,Nanosonics Limited,Health Care,"1,685,820,000",0.09,,,
NCK,Nick Scali Limited,Consumer Discretionary,"507,060,000",0.03,,,
NCM,Newcrest Mining,Materials,"24,552,800,000",1.25,,,
NCZ,New Century Resource,Materials,"245,280,000",0.01,,,
NEA,Nearmap Limited,Industrials,"1,694,180,000",0.09,,,
NEC,Nine Entertainment,Consumer Discretionary,"3,197,610,000",0.16,,,
NGI,Navigator Global Limited,Financials,"638,863,000",0.03,,,
NHC,New Hope Corporation,Energy,"2,252,730,000",0.11,,,
NHF,Nib Holdings Limited,Financials,"3,494,080,000",0.18,,,
NSR,National Storage,Real Estate,"1,179,380,000",0.06,,,
NST,Northern Star,Materials,"7,451,250,000",0.38,,,
NUF,Nufarm Limited,Materials,"1,556,520,000",0.08,,,
NWH,NRW Holdings Limited,Industrials,"943,488,000",0.05,,,
NWL,Netwealth Group,Financials,"1,901,440,000",0.1,,,
NWS,News Corp Class B Voting Common Stock-Cdi 1:1,Consumer Discretionary,"911,113,000",0.05,,,
NXT,NEXTDC Limited,Information Technology,"2,230,320,000",0.11,,,
OFX,OFX Group Limited,Financials,"337,107,000",0.02,,,
OGC,Oceanagold Corp Chess Depositary Interest 1:1,Materials,"281,943,000",0.01,,,
OMH,Om Holdings Limited 10c,Materials,"605,671,000",0.03,,,
OML,Ooh!Media Limited,Consumer Discretionary,"933,349,000",0.05,,,
ORA,Orora Limited,Materials,"3,909,660,000",0.2,,,
ORE,Orocobre Limited,Materials,"737,932,000",0.04,,,
ORG,Origin Energy,Energy,"12,874,500,000",0.65,,,
ORI,Orica Limited,Materials,"7,701,410,000",0.39,,,
OSH,Oil Search Limited 10 Toea,Energy,"10,780,000,000",0.55,,,
OZL,OZ Minerals,Materials,"3,248,460,000",0.16,,,
PDL,Pendal Group Limited,Financials,"2,273,750,000",0.12,,,
PDN,Paladin Energy Limited,Energy,"219,011,000",0.01,,,
PGH,Pact Group Holdings Limited,Materials,"959,742,000",0.05,,,
PLS,Pilbara Min Limited,Materials,"1,009,020,000",0.05,,,
PME,Pro Medicus Limited,Health Care,"2,620,460,000",0.13,,,
PMV,Premier Investments,Consumer Discretionary,"2,403,380,000",0.12,,,
PNI,Pinnacle Investment,Financials,"800,963,000",0.04,,,
PNV,Polynovo Limited,Health Care,"1,018,080,000",0.05,,,
PPS,Praemium Limited,Information Technology,"162,114,000",0.01,,,
PPT,Perpetual Limited,Financials,"1,967,300,000",0.1,,,
PRU,Perseus Mining Limited,Materials,"682,957,000",0.03,,,
PTM,Platinum Asset,Financials,"2,845,390,000",0.14,,,
QAN,Qantas Airways,Industrials,"8,480,730,000",0.43,,,
QBE,QBE Insurance Group,Financials,"15,632,100,000",0.79,,,
QUB,QUBE Holdings Limited,Industrials,"4,883,010,000",0.25,,,
RDC,Redcape Hotel Group FP Units Stapled Securities,Consumer Discretionary,"614,862,000",0.03,,,
REA,REA Group,Information Technology,"12,649,900,000",0.64,,,
REG,Regis Healthcare Limited,Health Care,"790,719,000",0.04,,,
RFF,Rural Funds Group FP Units Stapled Securities,Real Estate,"768,806,000",0.04,,,
RHC,Ramsay Health Care,Health Care,"14,598,300,000",0.74,,,
RIC,Ridley Corporation,Consumer Staples,"366,302,000",0.02,,,
RIO,RIO Tinto Limited,Materials,"38,517,400,000",1.96,,,
RMD,Resmed Inc Cdi 10:1 Foreign Exempt NYSE,Health Care,"7,205,890,000",0.37,,,
RMS,Ramelius Resources,Materials,"476,958,000",0.02,,,
RRL,Regis Resources,Materials,"2,681,550,000",0.14,,,
RSG,Resolute Mining,Materials,"1,012,060,000",0.05,,,
RWC,Reliance Worldwide,Industrials,"2,781,130,000",0.14,,,
S32,SOUTH32 Limited,Materials,"15,964,100,000",0.81,,,
SAR,Saracen Mineral,Materials,"3,019,120,000",0.15,,,
SBM,ST Barbara Limited,Materials,"2,045,220,000",0.1,,,
SCG,Scentre Group,Real Estate,"20,417,300,000",1.04,,,
SCP,Sca Property Group FP Units Stapled Securities,Real Estate,"2,212,140,000",0.11,,,
SDA,Speedcast Int Limited,Telecommunication Services,"834,300,000",0.04,,,
SDF,Steadfast Group Limited,Financials,"2,783,560,000",0.14,,,
